DATE,SPX Close,VIX CLOSE,Predicted Price,minus,signal,7 day price,delta VIX,delta SPX,比率,buy price,7 day - buy price,buy-7day,CALL上次交易日期,CALL可交易訊號,CALL實際交易,CALL收益率,CALL累積收益率,call手續費,CALL交易次數,PUT上次交易日期,PUT可交易訊號,PUT實際交易,PUT收益率,PUT累積收益率,put 手續費,PUT交易次數
2010/1/4,1132.98999,20.04,21.60063,-1.56063,PUT,1146.97998,20.04,1132.98999,56.53642665,1127.98999,,,1900/1/0,可交易,,,1,0,0,2010/1/4,可交易,,,1,1,0
2010/1/5,1136.52002,19.35,20.145128,-0.795128,,,-0.69,3.53003,-5.115985507,,,,1900/1/0,可交易,,,1,0,0,2010/1/4,不可交易,,,1,1,0
2010/1/6,1137.140015,19.16,19.694672,-0.534672,,,-0.19,0.619995,-3.263131579,,,,1900/1/0,可交易,,,1,0,0,2010/1/4,不可交易,,,1,1,0
2010/1/7,1141.689941,19.06,19.488657,-0.428657,,,-0.1,4.549926,-45.49926,,,,1900/1/0,可交易,,,1,0,0,2010/1/4,不可交易,,,1,1,0
2010/1/8,1144.97998,18.13,19.518373,-1.388373,PUT,1136.030029,-0.93,3.290039,-3.537676344,1139.97998,,3.949951,1900/1/0,可交易,,,1,0,0,2010/1/4,不可交易,,,1,1,0
2010/1/11,1146.97998,17.55,18.56617,-1.01617,PUT,0,-0.58,2,-3.448275862,1141.97998,,,1900/1/0,可交易,,,1,0,0,2010/1/11,可交易,,,1,2,0
2010/1/12,1136.219971,18.25,18.016108,0.233892,,,0.7,-10.760009,-15.37144143,,,,1900/1/0,可交易,,,1,0,0,2010/1/11,不可交易,,,1,2,0
2010/1/13,1145.680054,17.85,18.70444,-0.85444,,,-0.4,9.460083,-23.6502075,,,,1900/1/0,可交易,,,1,0,0,2010/1/11,不可交易,,,1,2,0
2010/1/14,1148.459961,17.63,18.174149,-0.544149,,,-0.22,2.779907,-12.63594091,,,,1900/1/0,可交易,,,1,0,0,2010/1/11,不可交易,,,1,2,0
2010/1/15,1136.030029,17.91,17.712597,0.197403,,,0.28,-12.429932,-44.39261429,,,,1900/1/0,可交易,,,1,0,0,2010/1/11,不可交易,,,1,2,0
2010/1/19,1150.22998,17.58,18.209671,-0.629671,,,-0.33,14.199951,-43.03015455,,,,1900/1/0,可交易,,,1,0,0,2010/1/11,可交易,,,1,2,0
2010/1/20,1138.040039,18.68,17.865963,0.814037,,,1.1,-12.189941,-11.08176455,,,,1900/1/0,可交易,,,1,0,0,2010/1/11,可交易,,,1,2,0
2010/1/21,1116.47998,22.27,18.915487,3.354513,CAll,1084.530029,3.59,-21.560059,-6.005587465,1121.47998,,,2010/1/21,可交易,,,1,1,0,2010/1/11,可交易,,,1,2,0
2010/1/22,1091.76001,27.31,21.825895,5.484105,CAll,1073.869995,5.04,-24.71997,-4.904755952,1096.76001,,,2010/1/21,不可交易,,,1,1,0,2010/1/11,可交易,,,1,2,0
2010/1/25,1096.780029,25.41,26.310207,-0.900207,,,-1.9,5.020019,-2.642115263,,,,2010/1/21,不可交易,,,1,1,0,2010/1/11,可交易,,,1,2,0
2010/1/26,1092.170044,24.55,24.561203,-0.011203,,,-0.86,-4.609985,5.360447674,,,,2010/1/21,不可交易,,,1,1,0,2010/1/11,可交易,,,1,2,0
2010/1/27,1097.5,23.14,23.517895,-0.377895,,,-1.41,5.329956,-3.780110638,,,,2010/1/21,不可交易,,,1,1,0,2010/1/11,可交易,,,1,2,0
2010/1/28,1084.530029,23.73,23.005407,0.724593,,,0.59,-12.969971,-21.98300169,,,,2010/1/21,可交易,,,1,1,0,2010/1/11,可交易,,,1,2,0
2010/1/29,1073.869995,24.62,23.664925,0.955075,,,0.89,-10.660034,-11.97756629,,,,2010/1/21,可交易,,,1,1,0,2010/1/11,可交易,,,1,2,0
2010/2/1,1089.189941,22.59,24.034657,-1.444657,PUT,1056.73999,-2.03,15.319946,-7.546771429,1084.189941,,27.449951,2010/1/21,可交易,,,1,1,0,2010/2/1,可交易,27.45,0.03,1,2,1
2010/2/2,1103.319946,21.48,22.653725,-1.173725,PUT,1070.52002,-1.11,14.130005,-12.72973423,1098.319946,,27.799926,2010/1/21,可交易,,,1,1,0,2010/2/1,不可交易,,,1.03,2,1
2010/2/3,1097.280029,21.6,21.792814,-0.192814,,,0.12,-6.039917,-50.33264167,,,,2010/1/21,可交易,,,1,1,0,2010/2/1,不可交易,,,1.03,2,1
2010/2/4,1063.109985,26.08,21.838333,4.241667,CAll,1078.469971,4.48,-34.170044,-7.627241964,1068.109985,10.36,,2010/2/4,可交易,10.36,0.01,1,1,1,2010/2/1,不可交易,,,1.03,2,1
2010/2/5,1066.189941,26.11,25.830378,0.279622,,,0.03,3.079956,102.6652,,,,2010/2/4,不可交易,,,1.01,1,1,2010/2/1,不可交易,,,1.03,2,1
2010/2/8,1056.73999,26.51,26.503542,0.006458,,,0.4,-9.449951,-23.6248775,,,,2010/2/4,不可交易,,,1.01,1,1,2010/2/1,可交易,,,1.03,2,1
2010/2/9,1070.52002,26,26.247574,-0.247574,,,-0.51,13.78003,-27.01966667,,,,2010/2/4,不可交易,,,1.01,1,1,2010/2/1,可交易,,,1.03,2,1
2010/2/10,1068.130005,25.4,25.303505,0.096495,,,-0.6,-2.390015,3.983358333,,,,2010/2/4,不可交易,,,1.01,1,1,2010/2/1,可交易,,,1.03,2,1
2010/2/11,1078.469971,23.96,25.027168,-1.067168,PUT,1106.75,-1.44,10.339966,-7.180531944,1073.469971,,,2010/2/4,可交易,,,1.01,1,1,2010/2/11,可交易,,,1.03,3,1
2010/2/12,1075.51001,22.73,23.739231,-1.009231,PUT,1109.170044,-1.23,-2.959961,2.406472358,1070.51001,,,2010/2/4,可交易,,,1.01,1,1,2010/2/11,不可交易,,,1.03,3,1
2010/2/16,1094.869995,22.25,23.415688,-1.165688,PUT,1094.599976,-0.48,19.359985,-40.33330208,1089.869995,,,2010/2/4,可交易,,,1.01,1,1,2010/2/11,不可交易,,,1.03,3,1
2010/2/17,1099.51001,21.72,22.781408,-1.061408,PUT,1105.23999,-0.53,4.640015,-8.754745283,1094.51001,,,2010/2/4,可交易,,,1.01,1,1,2010/2/11,不可交易,,,1.03,3,1
2010/2/18,1106.75,20.63,22.19941,-1.56941,PUT,1102.939941,-1.09,7.23999,-6.642192661,1101.75,,,2010/2/4,可交易,,,1.01,1,1,2010/2/18,可交易,,,1.03,4,1
2010/2/19,1109.170044,20.02,21.384521,-1.364521,PUT,1104.48999,-0.61,2.420044,-3.967285246,1104.170044,,,2010/2/4,可交易,,,1.01,1,1,2010/2/18,不可交易,,,1.03,4,1
2010/2/22,1108.01001,19.94,20.623814,-0.683814,,,-0.08,-1.160034,14.500425,,,,2010/2/4,可交易,,,1.01,1,1,2010/2/18,不可交易,,,1.03,4,1
2010/2/23,1094.599976,21.37,20.367989,1.002011,CAll,1118.310059,1.43,-13.410034,-9.377646154,1099.599976,18.71,,2010/2/23,可交易,18.71,0.02,1.01,1,2,2010/2/18,不可交易,,,1.03,4,1
2010/2/24,1105.23999,20.27,21.677681,-1.407681,PUT,1118.790039,-1.1,10.640014,-9.67274,1100.23999,,,2010/2/23,不可交易,,,1.04,1,2,2010/2/18,不可交易,,,1.03,4,1
2010/2/25,1102.939941,20.1,20.799181,-0.699181,,,-0.17,-2.300049,13.5297,,,,2010/2/23,不可交易,,,1.04,1,2,2010/2/18,可交易,,,1.03,4,1
2010/2/26,1104.48999,19.5,20.61663,-1.11663,PUT,1138.699951,-0.6,1.550049,-2.583415,1099.48999,,,2010/2/23,不可交易,,,1.04,1,2,2010/2/26,可交易,,,1.03,5,1
2010/3/1,1115.709961,19.26,19.784437,-0.524437,,,-0.24,11.219971,-46.74987917,,,,2010/2/23,不可交易,,,1.04,1,2,2010/2/26,不可交易,,,1.03,5,1
